nama,jurusan,matkul,nilai
Andi,Informatika,Matematika,88
Andi,Informatika,Pemrograman,92
Andi,Informatika,Fisika,75
Budi,Informatika,Matematika,70
Budi,Informatika,Pemrograman,85
Budi,Informatika,Fisika,68
Citra,Elektro,Matematika,82
Citra,Elektro,Fisika,90
Citra,Elektro,Kimia,78
Dina,Elektro,Matematika,65
Dina,Elektro,Fisika,72
Dina,Elektro,Kimia,80
Eka,Sipil,Matematika,77
Eka,Sipil,Fisika,83
Eka,Sipil,Kimia,69
Fani,Sipil,Matematika,91
Fani,Sipil,Fisika,88
Fani,Sipil,Kimia,74
Gita,Informatika,Matematika,60
Gita,Informatika,Pemrograman,78
Gita,Informatika,Fisika,55
Hadi,Elektro,Matematika,95
Hadi,Elektro,Fisika,87
Hadi,Elektro,Kimia,91
Indah,Sipil,Matematika,73
Indah,Sipil,Fisika,66
Indah,Sipil,Kimia,82
Joko,Informatika,Matematika,84
Joko,Informatika,Pemrograman,90
Joko,Informatika,Fisika,79
Kiki,Elektro,Matematika,58
Kiki,Elektro,Fisika,63
Kiki,Elektro,Kimia,70
Lina,Sipil,Matematika,86
Lina,Sipil,Fisika,91
Lina,Sipil,Kimia,77
